CustomerID,Recency,Frequency,Monetary,TotalQuantity,R_Score,F_Score,M_Score,RFM,Segment,Priority,ImpactRate,PotentialImpactRevenue
12370,51,7,4320.31,2605,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,432.03100000000006
12371,45,5,4067.38,1436,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,406.73800000000006
12372,72,3,1298.04,794,3,3,4,334,Growth Potential,P3 - Upsell Opportunity,0.15,194.706
12373,311,3,1127.65,516,2,3,3,233,Growth Potential,P3 - Upsell Opportunity,0.15,169.1475
12374,25,4,2989.2200000000003,1362,4,3,5,435,VIP Loyal,P2 - Maintain Loyalty,0.1,298.922
12375,11,2,457.5,178,5,2,2,522,New/Low Spend Active,P4 - Nurture,0.05,22.875
12376,390,2,503.15,240,2,2,2,222,Low Priority,P5 - Minimal Effort,0.0,0.0
12377,315,4,3426.32,2105,2,3,5,235,High Value At Risk,P1 - Immediate Retention,0.35,1199.212
12378,130,2,5416.32,3316,3,2,5,325,Low Priority,P5 - Minimal Effort,0.0,0.0
12379,82,4,1620.22,815,3,3,4,334,Growth Potential,P3 - Upsell Opportunity,0.15,243.033
12380,22,11,9676.300000000001,3355,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,967.6300000000001
12381,5,5,1845.31,808,5,4,4,544,VIP Loyal,P2 - Maintain Loyalty,0.1,184.531
12383,185,5,1850.56,1532,3,4,4,344,Growth Potential,P3 - Upsell Opportunity,0.15,277.584
12384,29,2,585.27,126,4,2,2,422,New/Low Spend Active,P4 - Nurture,0.05,29.2635
12385,379,1,1938.4,612,2,1,4,214,High Value At Risk,P1 - Immediate Retention,0.35,678.4399999999999
12386,338,2,660.8,568,2,2,3,223,Low Priority,P5 - Minimal Effort,0.0,0.0
12387,415,1,143.94,134,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12388,16,8,3901.11,2001,5,4,5,545,VIP Loyal,P2 - Maintain Loyalty,0.1,390.11100000000005
12389,403,3,1433.33,614,2,3,4,234,High Value At Risk,P1 - Immediate Retention,0.35,501.66549999999995
12390,80,1,549.84,353,3,1,2,312,Low Priority,P5 - Minimal Effort,0.0,0.0
12391,22,6,2773.42,1220,4,4,4,444,VIP Loyal,P2 - Maintain Loyalty,0.1,277.34200000000004
12392,591,1,234.75000000000003,73,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12393,72,6,2399.4500000000003,1311,3,4,4,344,Growth Potential,P3 - Upsell Opportunity,0.15,359.9175
12394,64,2,1272.48,819,3,2,4,324,Low Priority,P5 - Minimal Effort,0.0,0.0
12395,19,15,5067.27,3733,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,506.7270000000001
12396,674,1,931.43,591,1,1,3,113,Low Priority,P5 - Minimal Effort,0.0,0.0
12397,36,2,2409.9,1263,4,2,4,424,VIP Loyal,P2 - Maintain Loyalty,0.1,240.99
12398,46,1,1635.6599999999999,1394,4,1,4,414,VIP Loyal,P2 - Maintain Loyalty,0.1,163.566
12399,119,7,1962.3,2198,3,4,4,344,Growth Potential,P3 - Upsell Opportunity,0.15,294.34499999999997
12400,414,1,205.25,91,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12401,303,1,84.3,11,2,1,1,211,Low Priority,P5 - Minimal Effort,0.0,0.0
12402,323,6,1256.9,584,2,4,4,244,High Value At Risk,P1 - Immediate Retention,0.35,439.915
12403,50,2,1019.36,260,4,2,3,423,Low Priority,P5 - Minimal Effort,0.0,0.0
12404,682,1,63.24,1,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12405,149,1,1710.39,857,3,1,4,314,Low Priority,P5 - Minimal Effort,0.0,0.0
12406,22,5,6390.36,3416,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,639.0360000000001
12407,50,5,1708.1200000000001,1416,4,4,4,444,VIP Loyal,P2 - Maintain Loyalty,0.1,170.812
12408,33,8,4340.7699999999995,2229,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,434.077
12409,79,7,23419.29,13143,3,4,5,345,Growth Potential,P3 - Upsell Opportunity,0.15,3512.8935
12410,309,3,1013.71,341,2,3,3,233,Growth Potential,P3 - Upsell Opportunity,0.15,152.0565
12411,410,1,346.9,138,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12412,75,6,2596.93,1997,3,4,4,344,Growth Potential,P3 - Upsell Opportunity,0.15,389.5395
12413,67,4,999.45,319,3,3,3,333,Growth Potential,P3 - Upsell Opportunity,0.15,149.9175
12414,217,6,952.41,495,2,4,3,243,Growth Potential,P3 - Upsell Opportunity,0.15,142.86149999999998
12415,24,28,144458.37,91447,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,14445.837
12416,657,1,202.56,132,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12417,3,20,6816.91,2890,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,681.691
12418,113,4,2021.2,1088,3,3,4,334,Growth Potential,P3 - Upsell Opportunity,0.15,303.18
12419,386,2,503.01,231,2,2,2,222,Low Priority,P5 - Minimal Effort,0.0,0.0
12420,64,1,600.39,345,3,1,2,312,Low Priority,P5 - Minimal Effort,0.0,0.0
12421,16,6,1098.6,652,5,4,3,543,Growth Potential,P3 - Upsell Opportunity,0.15,164.79
12422,96,17,5231.8,2596,3,5,5,355,Growth Potential,P3 - Upsell Opportunity,0.15,784.77
12423,1,10,2622.39,1793,5,5,4,554,VIP Loyal,P2 - Maintain Loyalty,0.1,262.239
12424,163,4,3340.03,2025,3,3,5,335,Growth Potential,P3 - Upsell Opportunity,0.15,501.0045
12425,78,2,1741.41,1147,3,2,4,324,Low Priority,P5 - Minimal Effort,0.0,0.0
12426,195,2,1345.21,584,2,2,4,224,High Value At Risk,P1 - Immediate Retention,0.35,470.82349999999997
12427,22,3,1129.3,612,4,3,3,433,Growth Potential,P3 - Upsell Opportunity,0.15,169.39499999999998
12428,26,9,7956.46,3536,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,795.6460000000001
12429,9,8,7485.91,3344,5,4,5,545,VIP Loyal,P2 - Maintain Loyalty,0.1,748.591
12430,43,1,256.4,117,4,1,1,411,New/Low Spend Active,P4 - Nurture,0.05,12.82
12431,36,27,10857.97,4717,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,1085.797
12432,43,5,5059.32,1801,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,505.932
12433,1,10,20581.26,17116,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,2058.1259999999997
12434,85,3,1103.43,532,3,3,3,333,Growth Potential,P3 - Upsell Opportunity,0.15,165.5145
12435,80,6,13925.93,4958,3,4,5,345,Growth Potential,P3 - Upsell Opportunity,0.15,2088.8894999999998
12436,100,1,509.01,211,3,1,2,312,Low Priority,P5 - Minimal Effort,0.0,0.0
12437,2,39,12683.4,8000,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,1268.3400000000001
12438,14,2,2906.85,1180,5,2,4,524,VIP Loyal,P2 - Maintain Loyalty,0.1,290.685
12439,683,2,1158.18,484,1,2,3,123,Low Priority,P5 - Minimal Effort,0.0,0.0
12440,462,2,859.2,331,1,2,3,123,Low Priority,P5 - Minimal Effort,0.0,0.0
12441,367,1,347.1,242,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12442,3,1,172.06,182,5,1,1,511,New/Low Spend Active,P4 - Nurture,0.05,8.603
12443,732,1,485.31,182,1,1,2,112,Low Priority,P5 - Minimal Effort,0.0,0.0
12444,21,5,5005.46,1153,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,500.54600000000005
12445,22,2,434.98,206,4,2,2,422,New/Low Spend Active,P4 - Nurture,0.05,21.749000000000002
12446,58,1,1002.3100000000001,351,4,1,3,413,Low Priority,P5 - Minimal Effort,0.0,0.0
12447,243,1,476.49,190,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12448,44,1,449.45,243,4,1,2,412,New/Low Spend Active,P4 - Nurture,0.05,22.4725
12449,22,6,4835.89,2282,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,483.58900000000006
12450,156,5,688.2,442,3,4,3,343,Growth Potential,P3 - Upsell Opportunity,0.15,103.23
12451,11,8,12669.88,9359,5,4,5,545,VIP Loyal,P2 - Maintain Loyalty,0.1,1266.988
12452,17,2,430.57,185,5,2,2,522,New/Low Spend Active,P4 - Nurture,0.05,21.5285
12453,134,1,707.09,473,3,1,3,313,Low Priority,P5 - Minimal Effort,0.0,0.0
12454,56,5,16679.78,7703,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,1667.978
12455,73,10,5879.95,3302,3,5,5,355,Growth Potential,P3 - Upsell Opportunity,0.15,881.9925
12456,44,3,3181.04,1633,4,3,5,435,VIP Loyal,P2 - Maintain Loyalty,0.1,318.10400000000004
12457,66,8,2995.91,1094,3,4,5,345,Growth Potential,P3 - Upsell Opportunity,0.15,449.38649999999996
12458,71,4,1777.49,986,3,3,4,334,Growth Potential,P3 - Upsell Opportunity,0.15,266.6235
12459,605,1,454.36,258,1,1,2,112,Low Priority,P5 - Minimal Effort,0.0,0.0
12460,456,1,326.65,170,1,1,2,112,Low Priority,P5 - Minimal Effort,0.0,0.0
12461,94,2,826.88,287,3,2,3,323,Low Priority,P5 - Minimal Effort,0.0,0.0
12462,19,2,1189.59,536,5,2,3,523,Low Priority,P5 - Minimal Effort,0.0,0.0
12463,53,4,1344.78,776,4,3,4,434,VIP Loyal,P2 - Maintain Loyalty,0.1,134.478
12464,10,8,1212.05,112,5,4,3,543,Growth Potential,P3 - Upsell Opportunity,0.15,181.80749999999998
12465,17,2,742.1899999999999,479,5,2,3,523,Low Priority,P5 - Minimal Effort,0.0,0.0
12466,682,1,56.73,1,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12467,423,1,132.8,129,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12468,188,5,3670.74,2201,3,4,5,345,Growth Potential,P3 - Upsell Opportunity,0.15,550.611
12469,523,2,3070.54,2552,1,2,5,125,High Value At Risk,P1 - Immediate Retention,0.35,1074.6889999999999
12470,690,1,211.95,95,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12471,2,79,39963.79,16882,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,3996.3790000000004
12472,32,19,17880.59,11350,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,1788.0590000000002
12473,29,5,3938.5499999999997,2439,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,393.855
12474,17,31,12424.45,7954,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,1242.4450000000002
12475,54,2,1149.64,771,4,2,3,423,Low Priority,P5 - Minimal Effort,0.0,0.0
12476,16,23,14115.41,5645,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,1411.5410000000002
12477,23,9,20276.37,6119,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,2027.637
12478,4,1,680.99,236,5,1,3,513,Low Priority,P5 - Minimal Effort,0.0,0.0
12479,11,1,527.2,385,5,1,2,512,New/Low Spend Active,P4 - Nurture,0.05,26.360000000000003
12480,28,7,5464.85,2952,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,546.485
12481,23,15,12361.39,7253,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,1236.1390000000001
12482,576,29,23691.4,27042,1,5,5,155,High Value At Risk,P1 - Immediate Retention,0.35,8291.99
12483,17,19,5120.58,2172,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,512.058
12484,33,12,6370.15,3271,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,637.015
12485,529,1,708.1,414,1,1,3,113,Low Priority,P5 - Minimal Effort,0.0,0.0
12486,432,1,1037.28,523,1,1,3,113,Low Priority,P5 - Minimal Effort,0.0,0.0
12487,731,1,285.29999999999995,174,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12488,10,3,1298.66,529,5,3,4,534,VIP Loyal,P2 - Maintain Loyalty,0.1,129.866
12489,336,1,334.93,105,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12490,5,21,9823.64,5906,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,982.364
12491,39,1,460.40000000000003,260,4,1,2,412,New/Low Spend Active,P4 - Nurture,0.05,23.020000000000003
12492,63,3,715.21,444,3,3,3,333,Growth Potential,P3 - Upsell Opportunity,0.15,107.28150000000001
12493,166,2,433.74,207,3,2,2,322,Low Priority,P5 - Minimal Effort,0.0,0.0
12494,16,9,1872.8700000000001,988,5,5,4,554,VIP Loyal,P2 - Maintain Loyalty,0.1,187.28700000000003
12495,641,1,357.4,130,1,1,2,112,Low Priority,P5 - Minimal Effort,0.0,0.0
12496,620,2,54.09,33,1,2,1,121,Low Priority,P5 - Minimal Effort,0.0,0.0
12497,82,3,6248.5,5685,3,3,5,335,Growth Potential,P3 - Upsell Opportunity,0.15,937.275
12498,21,3,403.70000000000005,159,4,3,2,432,New/Low Spend Active,P4 - Nurture,0.05,20.185000000000002
12499,560,1,393.72,302,1,1,2,112,Low Priority,P5 - Minimal Effort,0.0,0.0
12500,23,19,5955.21,3377,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,595.5210000000001
12501,337,1,2169.39,1783,2,1,4,214,High Value At Risk,P1 - Immediate Retention,0.35,759.2864999999999
12502,96,5,3723.87,820,3,4,5,345,Growth Potential,P3 - Upsell Opportunity,0.15,558.5804999999999
12503,584,1,1126.0,561,1,1,3,113,Low Priority,P5 - Minimal Effort,0.0,0.0
12504,18,4,779.05,458,5,3,3,533,Growth Potential,P3 - Upsell Opportunity,0.15,116.85749999999999
12505,409,1,955.2,324,2,1,3,213,Low Priority,P5 - Minimal Effort,0.0,0.0
12506,233,1,73.5,23,2,1,1,211,Low Priority,P5 - Minimal Effort,0.0,0.0
12507,134,4,1844.06,1256,3,3,4,334,Growth Potential,P3 - Upsell Opportunity,0.15,276.609
12508,26,2,398.27,272,4,2,2,422,New/Low Spend Active,P4 - Nurture,0.05,19.9135
12509,284,1,176.5,55,2,1,1,211,Low Priority,P5 - Minimal Effort,0.0,0.0
12510,143,9,5178.02,2049,3,5,5,355,Growth Potential,P3 - Upsell Opportunity,0.15,776.7030000000001
12511,429,1,3084.02,1753,1,1,5,115,High Value At Risk,P1 - Immediate Retention,0.35,1079.407
12512,66,2,138.03,99,3,2,1,321,Low Priority,P5 - Minimal Effort,0.0,0.0
12513,113,1,612.29,462,3,1,2,312,Low Priority,P5 - Minimal Effort,0.0,0.0
12514,267,2,1597.76,840,2,2,4,224,High Value At Risk,P1 - Immediate Retention,0.35,559.216
12515,353,1,383.7,131,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12516,78,4,2648.62,1952,3,3,4,334,Growth Potential,P3 - Upsell Opportunity,0.15,397.29299999999995
12517,28,5,2502.84,1371,4,4,4,444,VIP Loyal,P2 - Maintain Loyalty,0.1,250.28400000000002
12518,1,5,2056.89,1318,5,4,4,544,VIP Loyal,P2 - Maintain Loyalty,0.1,205.689
12519,64,2,726.54,395,3,2,3,323,Low Priority,P5 - Minimal Effort,0.0,0.0
12520,79,5,2634.26,1439,3,4,4,344,Growth Potential,P3 - Upsell Opportunity,0.15,395.139
12521,143,1,599.68,309,3,1,2,312,Low Priority,P5 - Minimal Effort,0.0,0.0
12522,39,2,192.72,194,4,2,1,421,New/Low Spend Active,P4 - Nurture,0.05,9.636000000000001
12523,19,23,4372.15,2275,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,437.215
12524,9,17,11126.11,7178,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,1112.611
12525,498,3,973.73,509,1,3,3,133,Growth Potential,P3 - Upsell Opportunity,0.15,146.05949999999999
12526,1,3,1316.66,632,5,3,4,534,VIP Loyal,P2 - Maintain Loyalty,0.1,131.66600000000003
12527,82,5,735.51,526,3,4,3,343,Growth Potential,P3 - Upsell Opportunity,0.15,110.3265
12528,9,6,1933.48,756,5,4,4,544,VIP Loyal,P2 - Maintain Loyalty,0.1,193.348
12529,528,1,316.48,192,1,1,2,112,Low Priority,P5 - Minimal Effort,0.0,0.0
12530,60,9,3759.26,2713,3,5,5,355,Growth Potential,P3 - Upsell Opportunity,0.15,563.889
12531,15,2,1933.2,1119,5,2,4,524,VIP Loyal,P2 - Maintain Loyalty,0.1,193.32000000000002
12532,30,1,349.83000000000004,153,4,1,2,412,New/Low Spend Active,P4 - Nurture,0.05,17.491500000000002
12533,628,2,1367.89,704,1,2,4,124,High Value At Risk,P1 - Immediate Retention,0.35,478.7615
12534,131,1,1089.18,651,3,1,3,313,Low Priority,P5 - Minimal Effort,0.0,0.0
12535,92,2,716.35,219,3,2,3,323,Low Priority,P5 - Minimal Effort,0.0,0.0
12536,43,3,12601.830000000002,2803,4,3,5,435,VIP Loyal,P2 - Maintain Loyalty,0.1,1260.1830000000002
12537,409,1,732.94,449,2,1,3,213,Low Priority,P5 - Minimal Effort,0.0,0.0
12538,29,2,640.45,336,4,2,3,423,Low Priority,P5 - Minimal Effort,0.0,0.0
12539,22,7,11214.75,4535,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,1121.4750000000001
12540,20,33,22254.49,11019,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,2225.449
12541,30,3,981.18,680,4,3,3,433,Growth Potential,P3 - Upsell Opportunity,0.15,147.177
12542,484,2,481.88,522,1,2,2,122,Low Priority,P5 - Minimal Effort,0.0,0.0
12543,448,1,980.25,688,1,1,3,113,Low Priority,P5 - Minimal Effort,0.0,0.0
12544,36,1,372.7,136,4,1,2,412,New/Low Spend Active,P4 - Nurture,0.05,18.635
12545,75,2,1000.39,523,3,2,3,323,Low Priority,P5 - Minimal Effort,0.0,0.0
12546,47,2,1161.5,633,4,2,3,423,Low Priority,P5 - Minimal Effort,0.0,0.0
12547,198,3,383.58,309,2,3,2,232,Low Priority,P5 - Minimal Effort,0.0,0.0
12548,166,1,95.19999999999999,49,3,1,1,311,Low Priority,P5 - Minimal Effort,0.0,0.0
12549,576,6,1575.68,1366,1,4,4,144,High Value At Risk,P1 - Immediate Retention,0.35,551.4879999999999
12550,79,1,964.83,569,3,1,3,313,Low Priority,P5 - Minimal Effort,0.0,0.0
12551,358,1,168.0,100,2,1,1,211,Low Priority,P5 - Minimal Effort,0.0,0.0
12552,39,2,437.82,88,4,2,2,422,New/Low Spend Active,P4 - Nurture,0.05,21.891000000000002
12553,8,12,4608.75,2325,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,460.875
12554,449,1,468.5,240,1,1,2,112,Low Priority,P5 - Minimal Effort,0.0,0.0
12555,682,1,129.23,1,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12556,50,2,603.71,358,4,2,2,422,New/Low Spend Active,P4 - Nurture,0.05,30.185500000000005
12557,16,8,18716.14,6782,5,4,5,545,VIP Loyal,P2 - Maintain Loyalty,0.1,1871.614
12558,8,1,269.96,196,5,1,1,511,New/Low Spend Active,P4 - Nurture,0.05,13.498
12559,311,2,561.71,283,2,2,2,222,Low Priority,P5 - Minimal Effort,0.0,0.0
12560,5,3,2134.01,1110,5,3,4,534,VIP Loyal,P2 - Maintain Loyalty,0.1,213.40100000000004
12561,303,1,238.85,177,2,1,1,211,Low Priority,P5 - Minimal Effort,0.0,0.0
12562,8,9,4966.92,2327,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,496.692
12563,409,1,249.24,113,2,1,1,211,Low Priority,P5 - Minimal Effort,0.0,0.0
12564,261,1,456.9,133,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12565,289,1,145.92,80,2,1,1,211,Low Priority,P5 - Minimal Effort,0.0,0.0
12566,86,1,351.65,265,3,1,2,312,Low Priority,P5 - Minimal Effort,0.0,0.0
12567,23,15,13709.86,6086,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,1370.986
12568,645,1,70.0,48,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12569,2,32,4124.69,1801,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,412.469
12570,682,1,77.52,1,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12571,40,2,519.61,523,4,2,2,422,New/Low Spend Active,P4 - Nurture,0.05,25.980500000000003
12572,9,2,1020.42,452,5,2,3,523,Low Priority,P5 - Minimal Effort,0.0,0.0
12573,227,5,717.41,479,2,4,3,243,Growth Potential,P3 - Upsell Opportunity,0.15,107.61149999999999
12574,316,1,218.45,61,2,1,1,211,Low Priority,P5 - Minimal Effort,0.0,0.0
12575,457,2,622.8199999999999,315,1,2,3,123,Low Priority,P5 - Minimal Effort,0.0,0.0
12576,36,8,2142.72,1494,4,4,4,444,VIP Loyal,P2 - Maintain Loyalty,0.1,214.272
12577,35,8,1653.75,1197,4,4,4,444,VIP Loyal,P2 - Maintain Loyalty,0.1,165.375
12578,21,4,4642.45,2380,4,3,5,435,VIP Loyal,P2 - Maintain Loyalty,0.1,464.245
12579,78,1,440.42,285,3,1,2,312,Low Priority,P5 - Minimal Effort,0.0,0.0
12580,247,2,1052.9,569,2,2,3,223,Low Priority,P5 - Minimal Effort,0.0,0.0
12581,40,1,197.71,161,4,1,1,411,New/Low Spend Active,P4 - Nurture,0.05,9.8855
12582,239,4,1980.4,985,2,3,4,234,High Value At Risk,P1 - Immediate Retention,0.35,693.14
12583,3,27,14447.44,8984,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,1444.7440000000001
12584,4,9,2338.15,416,5,5,4,554,VIP Loyal,P2 - Maintain Loyalty,0.1,233.81500000000003
12585,234,2,2040.1,1279,2,2,4,224,High Value At Risk,P1 - Immediate Retention,0.35,714.035
12586,17,4,2062.67,687,5,3,4,534,VIP Loyal,P2 - Maintain Loyalty,0.1,206.26700000000002
12587,8,1,144.0,51,5,1,1,511,New/Low Spend Active,P4 - Nurture,0.05,7.2
12588,39,4,958.78,438,4,3,3,433,Growth Potential,P3 - Upsell Opportunity,0.15,143.81699999999998
12589,29,8,4695.66,1764,4,4,5,445,VIP Loyal,P2 - Maintain Loyalty,0.1,469.56600000000003
12590,211,2,9864.26,4283,2,2,5,225,High Value At Risk,P1 - Immediate Retention,0.35,3452.491
12591,317,3,1352.15,677,2,3,4,234,High Value At Risk,P1 - Immediate Retention,0.35,473.2525
12592,92,5,2582.66,1875,3,4,4,344,Growth Potential,P3 - Upsell Opportunity,0.15,387.39899999999994
12593,109,3,418.09999999999997,206,3,3,2,332,Low Priority,P5 - Minimal Effort,0.0,0.0
12594,38,15,5090.110000000001,2768,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,509.0110000000001
12595,505,1,299.02,271,1,1,2,112,Low Priority,P5 - Minimal Effort,0.0,0.0
12596,51,2,618.27,474,4,2,3,423,Low Priority,P5 - Minimal Effort,0.0,0.0
12597,19,4,3811.22,2236,5,3,5,535,VIP Loyal,P2 - Maintain Loyalty,0.1,381.122
12598,10,11,4534.09,2906,5,5,5,555,VIP Loyal,P2 - Maintain Loyalty,0.1,453.40900000000005
12599,29,13,2296.72,2189,4,5,4,454,VIP Loyal,P2 - Maintain Loyalty,0.1,229.672
12600,29,21,5043.92,1414,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,504.39200000000005
12601,190,6,681.26,290,2,4,3,243,Growth Potential,P3 - Upsell Opportunity,0.15,102.189
12602,59,1,153.12,162,4,1,1,411,New/Low Spend Active,P4 - Nurture,0.05,7.656000000000001
12603,22,1,739.1999999999999,63,4,1,3,413,Low Priority,P5 - Minimal Effort,0.0,0.0
12604,79,2,254.18,201,3,2,1,321,Low Priority,P5 - Minimal Effort,0.0,0.0
12605,376,4,1232.95,929,2,3,3,233,Growth Potential,P3 - Upsell Opportunity,0.15,184.9425
12606,682,1,21.0,1,1,1,1,111,Low Priority,P5 - Minimal Effort,0.0,0.0
12607,60,1,1579.51,1228,3,1,4,314,Low Priority,P5 - Minimal Effort,0.0,0.0
12608,405,1,415.79,323,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12609,78,9,3435.86,1553,3,5,5,355,Growth Potential,P3 - Upsell Opportunity,0.15,515.379
12610,23,5,2099.54,1049,4,4,4,444,VIP Loyal,P2 - Maintain Loyalty,0.1,209.954
12611,52,1,1193.32,846,4,1,3,413,Low Priority,P5 - Minimal Effort,0.0,0.0
12612,74,1,704.0400000000001,262,3,1,3,313,Low Priority,P5 - Minimal Effort,0.0,0.0
12613,57,10,6835.07,4163,4,5,5,455,VIP Loyal,P2 - Maintain Loyalty,0.1,683.5070000000001
12614,278,1,315.6,76,2,1,2,212,Low Priority,P5 - Minimal Effort,0.0,0.0
12615,2,8,5740.98,3317,5,4,5,545,VIP Loyal,P2 - Maintain Loyalty,0.1,574.098
